sep=;
Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
SAE;202404111520;4.00;0.00;10.00;433.00;51.30;-5.10;351.00;5.00;6.80;764.10;-;1034.70;-;3201.70;-;-;-;-;-;-
THU;202404111520;16.60;0.00;10.00;447.00;51.20;6.50;339.00;9.40;18.70;964.30;1030.70;1032.00;-;-;-;-;-;-;-;-
TIT;202404111520;2.00;-;10.00;533.00;49.80;-7.40;49.00;2.20;19.10;709.30;-;1036.20;-;3204.40;-;-;-;-;-;-
UEB;202404111520;-;-;10.00;451.00;-;-;-;-;-;-;-;-;-;-;75.00;16.20;23.40;10.50;57.10;2.40
ULR;202404111520;15.10;0.00;10.00;467.00;36.80;0.50;55.00;13.70;18.40;877.10;-;1031.00;1612.50;-;-;-;-;-;-;-
VAD;202404111520;16.60;0.00;10.00;422.00;52.40;6.80;334.00;11.50;26.30;977.80;1031.60;1032.50;-;-;-;-;-;-;-;-
VAB;202404111520;7.60;0.00;10.00;455.00;81.70;4.70;352.00;10.10;14.00;855.50;-;1033.20;1622.40;-;-;-;-;-;-;-
VLS;202404111520;13.80;0.00;10.00;430.00;63.90;7.10;155.00;3.20;9.40;-;-;-;-;-;-;-;-;-;-;-
VEV;202404111520;13.70;0.00;0.00;249.00;58.30;5.70;163.00;3.20;6.50;-;-;-;-;-;-;-;-;-;-;-
VIO;202404111520;19.00;0.00;10.00;437.00;32.10;2.00;55.00;3.20;10.10;904.10;-;1030.00;1617.20;-;-;-;-;-;-;-
VIT;202404111520;12.60;0.00;-;-;58.40;4.70;37.00;17.60;23.00;-;-;-;-;-;-;-;-;-;-;-
VIS;202404111520;18.90;0.00;10.00;462.00;49.80;8.20;277.00;20.20;30.60;953.20;-;1028.80;1614.60;-;-;-;-;-;-;-
WFJ;202404111520;2.30;0.00;10.00;476.00;67.60;-3.10;127.00;3.60;5.40;747.40;-;1035.00;-;3200.40;-;-;-;-;-;-
WYN;202404111520;16.10;0.00;0.00;208.00;47.40;4.90;82.00;10.80;16.60;981.90;1031.80;1032.50;-;-;-;-;-;-;-;-
WAE;202404111520;16.00;0.00;10.00;446.00;53.20;6.50;27.00;6.10;9.00;974.90;1032.00;1032.90;-;-;-;-;-;-;-;-
PSI;202404111520;17.70;0.00;10.00;254.00;41.80;4.60;-;-;-;992.30;1031.80;1032.60;-;-;112.00;2.50;13.30;-;-;-
ZER;202404111520;14.00;0.00;10.00;457.00;34.60;-1.40;225.00;11.20;16.60;846.70;-;1031.50;1606.90;-;-;-;-;-;-;-
REH;202404111520;16.50;0.00;10.00;450.00;45.60;4.70;58.00;7.90;17.30;979.70;1032.00;1032.80;-;-;-;-;-;-;-;-
SMA;202404111520;15.90;0.00;10.00;450.00;43.40;3.50;63.00;8.30;18.00;966.60;1031.70;1032.80;-;-;-;-;-;13.10;50.80;3.10
KLO;202404111520;16.30;0.00;10.00;421.00;46.10;4.70;52.00;8.30;15.50;981.70;1032.00;1032.80;-;-;-;-;-;-;-;-
PFA;202404111520;15.40;0.00;10.00;438.00;51.30;5.40;40.00;11.50;18.00;968.90;1031.90;1032.90;-;-;-;-;-;-;-;-
